timestamp,3_Pressure
2025-06-13 00:00:55,0.12
2025-06-13 00:01:55,0.12
2025-06-13 00:02:55,0.13
2025-06-13 00:03:55,0.13
2025-06-13 00:04:55,0.14
2025-06-13 00:05:55,0.14
2025-06-13 00:06:55,0.14
2025-06-13 00:07:55,0.14
2025-06-13 00:08:55,0.14
2025-06-13 00:09:55,0.14
2025-06-13 00:10:55,0.15
2025-06-13 00:11:55,0.15
2025-06-13 00:12:55,0.15
2025-06-13 00:13:55,0.16
2025-06-13 00:14:55,0.16
2025-06-13 00:15:55,0.16
2025-06-13 00:16:55,0.16
2025-06-13 00:17:55,0.16
2025-06-13 00:18:55,0.16
2025-06-13 00:19:55,0.16
2025-06-13 00:20:55,0.16
2025-06-13 00:21:55,0.16
2025-06-13 00:22:55,0.16
2025-06-13 00:23:55,0.16
2025-06-13 00:24:55,0.16
2025-06-13 00:25:55,0.16
2025-06-13 00:26:55,0.16
2025-06-13 00:27:55,0.16
2025-06-13 00:28:55,0.16
2025-06-13 00:29:55,0.15
2025-06-13 00:30:55,0.15
2025-06-13 00:31:55,0.15
2025-06-13 00:32:55,0.16
2025-06-13 00:33:55,0.15
2025-06-13 00:34:55,0.15
2025-06-13 00:35:55,0.15
2025-06-13 00:36:55,0.15
2025-06-13 00:37:55,0.15
2025-06-13 00:38:55,0.16
2025-06-13 00:39:55,0.16
2025-06-13 00:40:55,0.16
2025-06-13 00:41:55,0.16
2025-06-13 00:42:55,0.15
2025-06-13 00:43:55,0.15
2025-06-13 00:44:55,0.15
2025-06-13 00:45:55,0.15
2025-06-13 00:46:55,0.15
2025-06-13 00:47:55,0.15
2025-06-13 00:48:55,0.16
2025-06-13 00:49:55,0.16
2025-06-13 00:50:55,0.16
2025-06-13 00:51:55,0.16
2025-06-13 00:52:55,0.16
2025-06-13 00:53:55,0.16
2025-06-13 00:54:55,0.16
2025-06-13 00:55:55,0.15
2025-06-13 00:56:55,0.15
2025-06-13 00:57:55,0.15
2025-06-13 00:58:55,0.15
2025-06-13 00:59:55,0.15
2025-06-13 01:00:55,0.15
2025-06-13 01:01:55,0.15
2025-06-13 01:02:55,0.16
2025-06-13 01:03:55,0.16
2025-06-13 01:04:55,0.15
2025-06-13 01:05:55,0.16
2025-06-13 01:06:55,0.15
2025-06-13 01:07:55,0.16
2025-06-13 01:08:55,0.15
2025-06-13 01:09:55,0.16
2025-06-13 01:10:55,0.16
2025-06-13 01:11:55,0.16
2025-06-13 01:12:55,0.16
2025-06-13 01:13:55,0.16
2025-06-13 01:14:55,0.16
2025-06-13 01:15:55,0.17
2025-06-13 01:16:55,0.16
2025-06-13 01:17:55,0.16
2025-06-13 01:18:55,0.16
2025-06-13 01:19:55,0.17
2025-06-13 01:20:55,0.17
2025-06-13 01:21:55,0.17
2025-06-13 01:22:55,0.17
2025-06-13 01:23:55,0.17
2025-06-13 01:24:55,0.17
2025-06-13 01:25:55,0.17
2025-06-13 01:26:55,0.17
